feature,importance
Delivery_person_Ratings,0.2050733679315798
Road_traffic_density,0.14334029146703076
multiple_deliveries,0.11830898353597845
Weather_conditions,0.10991242453791937
Delivery_person_Age,0.07915696186464372
Vehicle_condition,0.0746445706154616
Order_Date,0.04129700750044025
Time_Order_picked,0.041006734036425886
Time_Orderd,0.03792630519925292
Delivery_location_longitude,0.029078108104585595
Delivery_location_latitude,0.028820196186353047
Restaurant_longitude,0.023632722746525617
Restaurant_latitude,0.022739580708223052
Festival,0.021851808896536696
Type_of_order,0.01091298226285051
City,0.007561618482460377
Type_of_vehicle,0.004736335923732443
